,sentence,useful
0,"For each admitted animal, its name, breed (if any) and owner must be stored",0
1, Each animal should be given an unique numeric identifier,0
2," For each owner, its name, address and phone number should be stored",0
3, An unique numeric identifier should also be generated for each one of them,0
4, An animal might be owner-less,0
5, This happens frequently as the clinic often rescues abandoned dogs from the streets in order to treat them and get them new owners,1
6, It should be possible to store information about a specific breed even if no animals of that breed have been treated at the clinic,0
7, Each appointement always has a responsible physician,0
8, All appointements start at a certain date and time; and are attended by an animal (and of course its owner),0
9," For each physician, his name, address and phone number should be stored",0
10, An unique numeric identifier should also be generated for each one of them,0
11," In an appointement, several medical conditions might be detected",0
12, Each condition has a common name and a scientific name,0
13, No two conditions have the same scientific name,0
14, It should be possible to store information about the most common conditions for each different breed in the database,0
